game_length,mmr,result,server,team_1,team_2,timestamp
25m 38s,,Victory,na,"Riven,Nidalee,Galio,Jhin,Pantheon","Camille,Olaf,Cassiopeia,Ezreal,Alistar",2020-10-13 09:31:42
25m 38s,,Defeat,na,"Teemo,Nidalee,Lucian,Caitlyn,Senna","Irelia,Hecarim,Cassiopeia,Jinx,Lulu",2020-10-13 06:00:17
25m 38s,,Defeat,na,"Malphite,Olaf,Taliyah,Ezreal,Alistar","Sylas,Lillia,Lucian,Senna,Pantheon",2020-10-13 05:06:45
25m 38s,,Defeat,na,"Neeko,Shen,Orianna,Kai'Sa,Nautilus","Riven,Hecarim,Cassiopeia,Samira,Morgana",2020-10-13 04:28:00
25m 38s,,Defeat,na,"Fiora,Nunu & Willump,Irelia,Jhin,Karma","Renekton,Elise,Kled,Jinx,Morgana",2020-10-13 04:00:51
25m 38s,,Defeat,na,"Irelia,Karthus,Sylas,Samira,Nautilus","Riven,Kayn,Akali,Miss Fortune,Galio",2020-10-13 03:18:04
25m 38s,,Defeat,na,"Galio,Kindred,Syndra,Ezreal,Blitzcrank","Camille,Fiddlesticks,Twisted Fate,Jhin,Morgana",2020-10-13 02:43:03
25m 38s,,Defeat,na,"Poppy,Ekko,Sylas,Samira,Blitzcrank","Lucian,Lillia,Lulu,Caitlyn,Alistar",2020-10-13 02:21:21
25m 38s,,Defeat,na,"Shen,Lillia,Samira,Lucian,Soraka","Taric,Master Yi,Riven,Ezreal,Lulu",2020-10-13 01:50:18
25m 38s,,Defeat,na,"Ornn,Graves,Sylas,Lucian,Alistar","Irelia,Hecarim,Akali,Senna,Leona",2020-10-12 14:06:15
33m 14s,,Victory,na,"Tryndamere,Gragas,Yasuo,Senna,Janna","Jax,Nidalee,Lillia,Ashe,Lulu",2020-10-16 10:53:59
33m 14s,,Victory,na,"Qiyana,Fiddlesticks,Talon,Senna,Leona","Wukong,Nidalee,Akali,Jhin,Pantheon",2020-10-16 09:59:21
33m 14s,,Victory,na,"Jax,Qiyana,Sylas,Syndra,Alistar","Veigar,Nidalee,Sett,Ashe,Leona",2020-10-16 09:29:56
33m 14s,,Victory,na,"Fiora,Lee Sin,Aurelion Sol,Ezreal,Karma","Renekton,Nidalee,Qiyana,Samira,Pantheon",2020-10-16 08:55:42
33m 14s,,Defeat,na,"Fiora,Shaco,Ekko,Jhin,Thresh","Camille,Sylas,Cassiopeia,Ezreal,Karma",2020-10-15 07:04:23
33m 14s,,Victory,na,"Lucian,Nidalee,Talon,Karthus,Karma","Zoe,Kha'Zix,Annie,Caitlyn,Lux",2020-10-14 11:16:14
33m 14s,,Defeat,na,"Jayce,Ekko,Qiyana,Jhin,Thresh","Darius,Kha'Zix,Akali,Draven,Karma",2020-10-14 10:05:18
33m 14s,,Victory,na,"Shen,Kindred,Lulu,Ezreal,Alistar","Darius,Nidalee,Cassiopeia,Senna,Pantheon",2020-10-13 10:50:41
28m 57s,,Defeat,na,"Vladimir,Dr. Mundo,Yone,Aphelios,Pantheon","Irelia,Lee Sin,Ahri,Lucian,Nami",2020-10-16 14:00:51
33m 14s,,Victory,na,"Renekton,Fiddlesticks,Taliyah,Ezreal,Karma","Camille,Graves,Sylas,Ashe,Janna",2020-10-13 10:21:16
